,Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,found_zipcode,found_lat,found_lon
122574,A827856,,2021-01-01 19:24:00,01/01/2021 07:24:00 PM,Ruby Ray And Sienna Rouge Path in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,Brown/White,None,,
122575,A827859,Peluchin,2021-01-02 08:42:00,01/02/2021 08:42:00 AM,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 month,Pomeranian Mix,Red/White,None,,
122576,A827870,,2021-01-02 13:24:00,01/02/2021 01:24:00 PM,Anderson Mill Road in Austin (TX),Stray,Sick,Dog,Intact Male,8 months,Chihuahua Shorthair,White/Tricolor,78729,30.46203,-97.750741
122577,A827862,,2021-01-02 13:35:00,01/02/2021 01:35:00 PM,1804 Sylvan Drive in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon,Black/Gray,78741,30.238036,-97.73407848148148
122578,A827875,,2021-01-02 14:45:00,01/02/2021 02:45:00 PM,1123 Elm Creek Drive in Austin (TX),Stray,Sick,Dog,Intact Male,1 year,Labrador Retriever,Tan,78744,30.1849844,-97.7645621
122584,A784105,Frankie,2021-01-03 08:28:00,01/03/2021 08:28:00 AM,Loyola And 183 in Austin (TX),Stray,Injured,Dog,Neutered Male,2 years,Harrier,Liver Tick,78723,30.305293,-97.664977
122589,A827917,,2021-01-03 17:03:00,01/03/2021 05:03:00 PM,1128 Spur in Austin (TX),Stray,Sick,Cat,Unknown,2 years,Domestic Shorthair,Black,None,,
122601,A827867,,2021-01-04 11:53:00,01/04/2021 11:53:00 AM,4601 Depew Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown Brindle,78751,30.3058975,-97.71742519814815
122604,A827936,,2021-01-04 13:36:00,01/04/2021 01:36:00 PM,Leisure Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Miniature Schnauzer Mix,Black,78754,30.343149,-97.6736531
122607,A827954,,2021-01-04 15:56:00,01/04/2021 03:56:00 PM,6014 Jacqueline Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/German Shepherd,Brown,78724,30.258736,-97.57269685229885
122608,A827968,,2021-01-04 16:46:00,01/04/2021 04:46:00 PM,700 Lavaca in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,77979,28.613479,-96.622594
122609,A827967,,2021-01-04 16:33:00,01/04/2021 04:33:00 PM,10307 Georgian Drive in Austin (TX),Stray,Aged,Cat,Spayed Female,10 years,Domestic Longhair,Brown Tabby/White,78753,30.368731,-97.68704878921568
122610,A827973,,2021-01-04 16:59:00,01/04/2021 04:59:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Basset Hound Mix,White/Black,None,,
122611,A823661,Apollo Buddy,2021-01-03 21:22:00,01/03/2021 09:22:00 PM,15207 Tacon Lane in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown,None,,
122613,A827897,*Andromeda,2021-01-03 08:44:00,01/03/2021 08:44:00 AM,1215 West Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Rottweiler,Black/Tan,78748,30.173093,-97.814327
122614,A827887,,2021-01-02 20:11:00,01/02/2021 08:11:00 PM,10608 Turner Drive in Austin (TX),Stray,Feral,Cat,Intact Male,2 years,Siamese,Brown/Seal Point,78753,30.373783500000002,-97.6863823104928
122616,A827909,,2021-01-03 15:22:00,01/03/2021 03:22:00 PM,700 Congress Avenue in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown,78701,30.2692497,-97.7428248
122619,A827672,Winne,2021-01-02 13:17:00,01/02/2021 01:17:00 PM,2900 Manor Road in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown,78722,30.285641,-97.711018
122620,A773909,Rocky,2021-01-03 11:20:00,01/03/2021 11:20:00 AM,8207 Sam Rayburn Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Staffordshire Mix,Fawn/Tricolor,78753,30.346509,-97.69948598180062
122622,A827914,Coco Bean,2021-01-03 16:19:00,01/03/2021 04:19:00 PM,2508 West Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer,Brown/White,None,,
122623,A827861,Ozzie,2021-01-02 09:02:00,01/02/2021 09:02:00 AM,3800 Shoal Creek Boulevard in Austin (TX),Stray,Normal,Dog,Neutered Male,20 years,Tibetan Terrier,Black,78756,30.307188,-97.747633
122626,A827888,,2021-01-03 01:00:00,01/03/2021 01:00:00 AM,4404 East Oltorf in Austin (TX),Stray,Sick,Dog,Intact Male,7 months,Pit Bull,Brown/White,None,,
122627,A827986,Toro,2021-01-05 08:03:00,01/05/2021 08:03:00 AM,5920 Diamondleaf Bend in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 year,Chihuahua Shorthair,Black,None,,
